"AtcoCode","TiplocCode","CrsCode","StationName","StationNameLang","GridType","Easting","Northing","CreationDateTime","ModificationDateTime","RevisionNumber","Modification",SV0000000000,"Latitude","Longitude"
"9100UWRLNGH","UWRLNGH","UWL","Upper Warlingham Rail Station","","U",534068,158353,"2005-04-21T00:00:00","2006-09-18T18:24:34",1,"rev",TQ3406858353,51.308510,-0.077951743
"9100VALLEY","VALLEY","VAL","Valley Rail Station","","U",229200,379100,"2003-11-04T00:00:00","2006-09-18T18:24:34",1,"rev",SH2920079100,53.281283,-4.5633687
"9100VAUXHLM","VAUXHLM","VXH","Vauxhall Rail Station","","U",530430,178030,"2005-04-25T00:00:00","2006-09-18T18:24:34",1,"rev",TQ3043078030,51.486188,-0.12288955
"9100VAUXHLW","VAUXHLW","VXH","Vauxhall Rail Station","","U",530431,178030,"2007-11-07T16:19:14","2007-11-14T16:31:58",1,"rev",TQ3043178030,51.486188,-0.12287515
"9100VICTRIC","VICTRIC","VIC","London Victoria Rail Station","","U",528900,179000,"2003-11-04T00:00:00","2006-09-18T18:24:34",1,"rev",TQ2890079000,51.495256,-0.14455880
"9100VICTRIE","VICTRIE","VIC","London Victoria Rail Station","","U",528901,179000,"2003-11-04T00:00:00","2007-11-14T16:32:29",2,"rev",TQ2890179000,51.495256,-0.14454441
"9100VRGNWTR","VRGNWTR","VIR","Virginia Water Rail Station","","U",500115,167955,"2005-04-21T00:00:00","2011-03-24T17:35:58",2,"rev",TQ0011567955,51.401800,-0.56217383
"9100WADDON","WADDON","WDO","Waddon Rail Station","","U",531155,164830,"2003-11-04T00:00:00","2006-09-18T18:24:34",1,"rev",TQ3115564830,51.367396,-0.11733591
"9100WADHRST","WADHRST","WAD","Wadhurst Rail Station","","U",562150,133004,"2005-04-21T00:00:00","2006-09-18T18:24:34",1,"rev",TQ6215033004,51.073459,0.31317351
"9100WAINFLT","WAINFLT","WFL","Wainfleet Rail Station","","U",549700,358770,"2003-11-04T00:00:00","2006-09-18T18:24:34",1,"rev",TF4970058770,53.105125,0.23472728
"9100WALAGRD","WALAGRD","WLG","Wallasey Grove Road Rail Station","","U",329020,392890,"2003-11-04T00:00:00","2006-09-18T18:24:34",1,"rev",SJ2902092890,53.428002,-3.0697070
"9100WALASYV","WALASYV","WLV","Wallasey Village Rail Station","","U",329050,392320,"2003-11-04T00:00:00","2006-09-18T18:24:34",1,"rev",SJ2905092320,53.422883,-3.0691270
"9100WALERTN","WALERTN","WSA","West Allerton Rail Station","","U",339750,386190,"2003-11-04T00:00:00","2006-09-18T18:24:34",1,"rev",SJ3975086190,53.369123,-2.9069642
"9100WALHAMX","WALHAMX","WLC","Waltham Cross Rail Station","","U",536521,200321,"2005-04-21T00:00:00","2006-09-18T18:24:34",1,"rev",TL3652100321,51.685059,-0.026558395
"9100WALKDEN","WALKDEN","WKD","Walkden Rail Station","","U",373820,402640,"2003-11-04T00:00:00","2006-09-18T18:24:34",1,"rev",SD7382002640,53.519773,-2.3963210
"9100WALLYFD","WALLYFD","WAF","Wallyford Rail Station","","U",336700,672380,"2003-11-04T00:00:00","2006-09-18T18:24:34",1,"rev",NT3670072380,55.940283,-3.0149503
"9100WALMER","WALMER","WAM","Walmer Rail Station","","U",636410,150340,"2003-11-04T00:00:00","2007-02-13T17:06:21",3,"rev",TR3641050340,51.203321,1.3828744
"9100WALNGTN","WALNGTN","WLT","Wallington Rail Station","","U",528843,163991,"2003-11-04T00:00:00","2006-09-18T18:24:34",1,"rev",TQ2884363991,51.360385,-0.15083295
"9100WALSALL","WALSALL","WSL","Walsall Rail Station","","U",401130,298510,"2003-11-04T00:00:00","2007-02-13T17:06:21",3,"rev",SP0113098510,52.584397,-1.9847549
"9100WALTONM","WALTONM","WAO","Walton (Merseyside) Rail Station","","U",335970,395930,"2003-11-04T00:00:00","2006-09-18T18:24:34",1,"rev",SJ3597095930,53.456214,-2.9657470
"9100WANBRO","WANBRO","WAN","Wanborough Rail Station","","U",493100,150326,"2005-04-21T00:00:00","2006-09-18T18:24:34",1,"rev",SU9310050326,51.244522,-0.66758777
"9100WANDCMN","WANDCMN","WSW","Wandsworth Common Rail Station","","U",527730,173510,"2005-04-25T00:00:00","2006-09-18T18:24:34",1,"rev",TQ2773073510,51.446183,-0.16338599
"9100WAPPING","WAPPING","WPE","Wapping Rail Station","","U",535025,180175,"2010-02-05T15:59:31","2010-02-05T15:59:31",0,"new",TQ3502580175,51.504386,-0.055930895
"9100WARE","WARE","WAR","Ware Rail Station","","U",535998,213984,"2003-11-04T00:00:00","2006-11-24T15:29:01",2,"rev",TL3599813984,51.807959,-0.028781383
"9100WARGRAV","WARGRAV","WGV","Wargrave Rail Station","","U",478085,178289,"2005-04-21T00:00:00","2006-09-18T18:24:34",1,"rev",SU7808578289,51.498157,-0.87651669
"9100WARHAM","WARHAM","WRM","Wareham Rail Station","","U",391956,88144,"2003-11-04T00:00:00","2007-02-13T17:06:21",3,"rev",SY9195688144,50.692887,-2.1152465
